"Id","Name","Code","EmailSuffixes","SectorTypeId","IsSeeded","Region"
"366b152d-159a-424f-8f2a-73426b71f314","Prime Minister's Office",,"@cabinetoffice.gov.uk,@no10.x.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"49698686-4851-48a8-bce0-b1cf21547a51","Attorney General's Office",,"@attorneygeneral.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"09af051d-d98c-4e81-a5bd-4374b499cfe2","Cabinet Office",,"@cabinetoffice.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"eee0e050-0ac1-4c83-bc96-71bb261e3bf0","Department for Business, Energy and Industrial Strategy",,"@beis.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"6dda2365-d252-4d0a-9e42-a3bfa8cf3f5a","Department for Digital, Culture, Media and Sport",,"@culture.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"c8436326-024e-46c8-809c-5a99bdc8535c","Department for Education",,"@education.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"9b47504a-9178-47a0-a98a-b2b7fae28a54","Department for Environment, Food and Rural Affairs",,"@defra.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"21b6e636-4e4c-4fa4-ad47-2ff797a9e509","Department for Exiting the European Union",,"@dexeu.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"c6658e20-484b-4512-8924-c2b0600aeacc","Department for International Development",,"@dfid.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"4ba1c7c0-925a-4d15-974a-e8dba52fb371","Department for Transport",,"@dft.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"36879d71-e76b-47a3-82a6-cf9965e56a71","Department for Work and Pensions",,"@dwp.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"7fb5feca-7bf0-49f8-85b6-e79c2b677730","Department for Health and Social Care",,"@dh.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"c25d8d1e-1d01-4ee9-aeae-045d3060cd54","Foreign and Commonwealth Office",,"@fco.gsi.gov.uk, @fco.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"c5ca9359-a774-45dd-be09-c337a8a3aa3b","HM Treasury",,"@hmtreasury.gsi.gov.uk,@hmtreasury.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"6e93769b-3713-42f4-bafc-068138aa0880","Home Office",,"@homeoffice.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"cf8e2785-2109-4a58-827a-05eceface226","Ministry of Defence",,"@mod.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"dedb9b0f-117a-4d49-b25e-3f9f2973ec17","Ministry of Housing, Communities and Local Government",,"@communities.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"dc31d42d-63e7-45e6-bbe3-c7cbe68faf9c","Ministry of Justice",,"@justice.gsi.gov.uk,@justice.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"5817b85d-4336-4d61-af55-f84f5d911242","Northern Ireland Office",,"@nio.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"641b570b-10b8-40c7-96b2-d2f91f0edb9f","Office of the Advocate General for Scotland",,"@advocategeneral.gsi.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
"beb3dfa1-a939-41e0-b1ee-bc0f89f80c54","Office of the Leader of the House of Commons",,"@cabinetoffice.gov.uk","9cc87489-39ac-4180-b281-4c8ba013ae55",TRUE,
